pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
Lysine degradation - Homo sapiens (human),KEGG,4,C03087;C03793;C00164;C00449,55 (55),0.0563,0.509
ceramide <i>de novo</i> biosynthesis,HumanCyc,2,C00065;C00080,15 (20),0.0581,0.519
Ethanol oxidation,Reactome,2,C00033;C00080,15 (15),0.0581,0.519
Carnitine synthesis,Reactome,2,C03793;C00080,15 (15),0.0581,0.519
oxidative ethanol degradation III,HumanCyc,2,C00033;C00080,15 (15),0.0581,0.519
Hereditary leiomyomatosis and renal cell carcinoma pathway,Wikipathways,2,C00022;C00122,15 (21),0.0581,0.519
Phosphoenolpyruvate carboxykinase deficiency 1 (PEPCK1),SMPDB,3,C00022;C00074;C00080,34 (34),0.0595,0.522
Glycolysis Gluconeogenesis,INOH,3,C00022;C00074;C00025,34 (34),0.0595,0.522
Gluconeogenesis,SMPDB,3,C00022;C00074;C00080,34 (34),0.0595,0.522
Glycogenosis_ Type IA. Von gierke disease,SMPDB,3,C00022;C00074;C00080,34 (34),0.0595,0.522
Glycogenosis_ Type IC,SMPDB,3,C00022;C00074;C00080,34 (34),0.0595,0.522
Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease,SMPDB,3,C00022;C00074;C00080,34 (34),0.0595,0.522
Triosephosphate isomerase,SMPDB,3,C00022;C00074;C00080,34 (34),0.0595,0.522
Fructose-1_6-diphosphatase deficiency,SMPDB,3,C00022;C00074;C00080,34 (34),0.0595,0.522
Glycogenosis_ Type IB,SMPDB,3,C00022;C00074;C00080,34 (34),0.0595,0.522
Phosphonate and phosphinate metabolism - Homo sapiens (human),KEGG,4,C00033;C00022;C00074;C02798,57 (57),0.0627,0.542
Pyrimidine Metabolism,SMPDB,4,C00064;C00178;C00429;C00475,57 (57),0.0627,0.542
UMP Synthase Deiciency (Orotic Aciduria),SMPDB,4,C00064;C00178;C00429;C00475,57 (57),0.0627,0.542
MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy),SMPDB,4,C00064;C00178;C00429;C00475,57 (57),0.0627,0.542
Beta Ureidopropionase Deficiency,SMPDB,4,C00064;C00178;C00429;C00475,57 (57),0.0627,0.542
Dihydropyrimidinase Deficiency,SMPDB,4,C00064;C00178;C00429;C00475,57 (57),0.0627,0.542
Vitamin B9 (folate) metabolism,EHMN,3,C00065;C00025;C00080,35 (35),0.0638,0.542
cysteine biosynthesis,HumanCyc,2,C00065;C00109,16 (16),0.0653,0.542
isoleucine degradation,HumanCyc,2,C00025;C00080,16 (16),0.0653,0.542
Beta-oxidation of pristanoyl-CoA,Reactome,2,C00033;C00080,16 (22),0.0653,0.542
Oxidative phosphorylation - Homo sapiens (human),KEGG,2,C00080;C00122,16 (16),0.0653,0.542
Fructose catabolism,Reactome,2,C00258;C00080,16 (16),0.0653,0.542
superpathway of choline degradation to L-serine,HumanCyc,2,C00065;C00080,16 (16),0.0653,0.542
(S)-reticuline biosynthesis,HumanCyc,2,C00025;C00080,16 (16),0.0653,0.542
Aflatoxin activation and detoxification,Wikipathways,2,C00033;C00080,16 (29),0.0653,0.542
Ethanol effects on histone modifications,Wikipathways,2,C00033;C00065,16 (21),0.0653,0.542
3-Methylglutaconic Aciduria Type I,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
Valine_ Leucine and Isoleucine Degradation,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
Isovaleric Aciduria,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
3-Methylcrotonyl Coa Carboxylase Deficiency Type I,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
Propionic Acidemia,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
Maple Syrup Urine Disease,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
Isobutyryl-coa dehydrogenase deficiency,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
3-hydroxyisobutyric aciduria,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
3-hydroxyisobutyric acid dehydrogenase deficiency,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
Isovaleric acidemia,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
Methylmalonate Semialdehyde Dehydrogenase Deficiency,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
Methylmalonic Aciduria,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
3-Methylglutaconic Aciduria Type IV,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
3-Methylglutaconic Aciduria Type III,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
Beta-Ketothiolase Deficiency,SMPDB,4,C06002;C00164;C00080;C00025,58 (58),0.066,0.542
Metabolism of vitamins and cofactors,Reactome,7,C00064;C00163;C00033;C00022;C00153;C00025;C00080,136 (180),0.0671,0.55
Mercaptopurine Action Pathway,SMPDB,5,C00064;C05512;C00049;C00025;C00122,83 (84),0.0674,0.551
Lysine degradation,INOH,3,C03793;C00025;C00449,36 (36),0.0684,0.558
Thioguanine Action Pathway,SMPDB,5,C00064;C05512;C00049;C00025;C00122,84 (85),0.0702,0.572
4-hydroxybenzoate biosynthesis,HumanCyc,2,C00025;C00080,17 (17),0.0728,0.585
mevalonate pathway,HumanCyc,2,C00418;C00080,17 (17),0.0728,0.585
Pyruvate Carboxylase Deficiency,SMPDB,2,C00022;C00025,17 (17),0.0728,0.585
Primary Hyperoxaluria Type I,SMPDB,2,C00022;C00025,17 (17),0.0728,0.585
Mitochondrial Electron Transport Chain,SMPDB,2,C00080;C00122,17 (17),0.0728,0.585
Lactic Acidemia,SMPDB,2,C00022;C00025,17 (17),0.0728,0.585
Alanine Metabolism,SMPDB,2,C00022;C00025,17 (17),0.0728,0.585
Azathioprine Action Pathway,SMPDB,5,C00064;C05512;C00049;C00025;C00122,85 (86),0.0731,0.587
Type 2 papillary renal cell carcinoma,Wikipathways,1,C00122,3 (3),0.0772,0.6
Trafficking and processing of endosomal TLR,Reactome,1,C00080,3 (3),0.0772,0.6
Activation of Na-permeable kainate receptors,Reactome,1,C00025,3 (3),0.0772,0.6
Activation of Ca-permeable Kainate Receptor,Reactome,1,C00025,3 (3),0.0772,0.6
Reduction of cytosolic Ca++ levels,Reactome,1,C00080,3 (3),0.0772,0.6
Osteoclast Signaling,Wikipathways,1,C00080,3 (4),0.0772,0.6
The fatty acid cycling model,Reactome,1,C00080,3 (3),0.0772,0.6
Inositol transporters,Reactome,1,C00080,3 (4),0.0772,0.6
Huntington disease - Homo sapiens (human),KEGG,1,C00025,3 (3),0.0772,0.6
<i>N</i>-acetylglucosamine degradation I,HumanCyc,1,C00033,3 (5),0.0772,0.6
Renal cell carcinoma - Homo sapiens (human),KEGG,1,C00122,3 (3),0.0772,0.6
Influenza A - Homo sapiens (human),KEGG,1,C00080,3 (3),0.0772,0.6
dermatan sulfate biosynthesis (late stages),HumanCyc,1,C00080,3 (3),0.0772,0.6
chondroitin and dermatan biosynthesis,HumanCyc,1,C00080,3 (4),0.0772,0.6
Activation of AMPA receptors,Reactome,1,C00025,3 (3),0.0772,0.6
Sterol Regulatory Element-Binding Proteins (SREBP) signalling,Wikipathways,1,C00064,3 (5),0.0772,0.6
Trafficking and processing of endosomal TLR,Wikipathways,1,C00080,3 (3),0.0772,0.6
Mitochondrial calcium ion transport,Wikipathways,1,C00080,3 (3),0.0772,0.6
Glutathione metabolism - Homo sapiens (human),KEGG,3,C00077;C01879;C00025,38 (38),0.0778,0.602
Selenoamino acid metabolism,EHMN,3,C00065;C00109;C00080,38 (38),0.0778,0.602
Biosynthesis of DHA-derived SPMs,Reactome,2,C00025;C00080,18 (72),0.0805,0.617
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Reactome,2,C00178;C00475,18 (18),0.0805,0.617
superpathway of melatonin degradation,HumanCyc,2,C00033;C00080,18 (24),0.0805,0.617
Spermidine and Spermine Biosynthesis,SMPDB,2,C00077;C00080,18 (18),0.0805,0.617
Ethanol Degradation,SMPDB,2,C00033;C00080,18 (18),0.0805,0.617
DNA Repair,Reactome,3,C00153;C00429;C00178,40 (48),0.0878,0.667
Valine Leucine Isoleucine degradation,INOH,3,C00164;C06002;C00025,40 (40),0.0878,0.667
Glycosaminoglycan metabolism,Reactome,3,C00033;C00049;C00080,40 (60),0.0878,0.667
Branched-chain amino acid catabolism,Wikipathways,3,C00349;C03793;C00080,40 (46),0.0878,0.667
Glucose metabolism,Wikipathways,3,C00022;C00074;C00080,40 (43),0.0878,0.667
Threonine and 2-Oxobutanoate Degradation,SMPDB,2,C00109;C00188,19 (19),0.0884,0.667
Nitrogen metabolism - Homo sapiens (human),KEGG,2,C00064;C00025,19 (19),0.0884,0.667
Fatty Acid Biosynthesis,SMPDB,2,C00033;C00164,19 (31),0.0884,0.667
Glutathione metabolism,Wikipathways,2,C00025;C01879,19 (19),0.0884,0.667
Cystathionine Beta-Synthase Deficiency,SMPDB,3,C00065;C00263;C00109,41 (42),0.093,0.692
S-Adenosylhomocysteine (SAH) Hydrolase Deficiency,SMPDB,3,C00065;C00263;C00109,41 (42),0.093,0.692
Methionine Metabolism,SMPDB,3,C00065;C00263;C00109,41 (42),0.093,0.692
Methionine Adenosyltransferase Deficiency,SMPDB,3,C00065;C00263;C00109,41 (42),0.093,0.692
Glycine N-methyltransferase Deficiency,SMPDB,3,C00065;C00263;C00109,41 (42),0.093,0.692
Hypermethioninemia,SMPDB,3,C00065;C00263;C00109,41 (42),0.093,0.692
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMPDB,3,C00065;C00263;C00109,41 (42),0.093,0.692
Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism_ cblG complementation type,SMPDB,3,C00065;C00263;C00109,41 (42),0.093,0.692
Metabolism of folate and pterines,Reactome,2,C00025;C00080,20 (25),0.0966,0.715
Carnitine Synthesis,SMPDB,2,C03793;C00080,20 (20),0.0966,0.715
Fructose metabolism,Wikipathways,2,C00258;C00080,20 (20),0.0966,0.715
Valine_ leucine and isoleucine degradation - Homo sapiens (human),KEGG,3,C00349;C00164;C06002,42 (42),0.0983,0.726
GPCR ligand binding,Reactome,6,C00077;C00163;C00388;C00033;C00025;C00080,121 (141),0.0995,0.727
thio-molybdenum cofactor biosynthesis,HumanCyc,1,C00080,4 (6),0.102,0.727
Ionotropic activity of kainate receptors,Reactome,1,C00025,4 (4),0.102,0.727
Activation of kainate receptors upon glutamate binding,Reactome,1,C00025,4 (4),0.102,0.727
Type II diabetes mellitus,Wikipathways,1,C00022,4 (4),0.102,0.727
Biosynthesis of maresin conjugates in tissue regeneration (MCTR),Reactome,1,C00025,4 (8),0.102,0.727
Bicarbonate transporters,Reactome,1,C00080,4 (4),0.102,0.727
Downregulation of SMAD2/3:SMAD4 transcriptional activity,Reactome,1,C00153,4 (4),0.102,0.727
Cardiac muscle contraction - Homo sapiens (human),KEGG,1,C00080,4 (4),0.102,0.727
Rheumatoid arthritis - Homo sapiens (human),KEGG,1,C00080,4 (4),0.102,0.727
Metabolism of vitamin K,Reactome,1,C00080,4 (6),0.102,0.727
glycine biosynthesis,HumanCyc,1,C00022,4 (4),0.102,0.727
chondroitin sulfate biosynthesis (late stages),HumanCyc,1,C00080,4 (5),0.102,0.727
Sperm Motility And Taxes,Reactome,1,C00080,4 (4),0.102,0.727
Mitochondrial calcium ion transport,Reactome,1,C00080,4 (4),0.102,0.727
Prednisone Metabolism Pathway,SMPDB,1,C00080,4 (4),0.102,0.727
Prednisone Action Pathway,SMPDB,1,C00080,4 (4),0.102,0.727
thioredoxin pathway,HumanCyc,1,C00080,4 (4),0.102,0.727
SIRT1 negatively regulates rRNA expression,Wikipathways,1,C00153,4 (5),0.102,0.727
Fructose metabolism,Reactome,2,C00258;C00080,21 (21),0.105,0.745
Synthesis of Leukotrienes (LT) and Eoxins (EX),Reactome,2,C00025;C00080,21 (28),0.105,0.745
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),HumanCyc,2,C00418;C00080,21 (21),0.105,0.745
folate transformations,HumanCyc,2,C00065;C00080,21 (21),0.105,0.745
lysine degradation II (pipecolate pathway),HumanCyc,2,C00025;C00080,21 (21),0.105,0.745
Tyrosine metabolism,INOH,3,C00122;C00164;C00025,44 (44),0.109,0.774
tryptophan degradation,HumanCyc,2,C02220;C00080,22 (22),0.114,0.788
TCA cycle,HumanCyc,2,C00080;C00122,22 (23),0.114,0.788
Free fatty acid receptors,Reactome,2,C00033;C00163,22 (24),0.114,0.788
Transfer of Acetyl Groups into Mitochondria,SMPDB,2,C00022;C00080,22 (22),0.114,0.788
Gamma-glutamyl-transpeptidase deficiency,SMPDB,2,C01879;C00025,22 (22),0.114,0.788
5-oxoprolinase deficiency,SMPDB,2,C01879;C00025,22 (22),0.114,0.788
Gamma-Glutamyltransferase Deficiency,SMPDB,2,C01879;C00025,22 (22),0.114,0.788
Glutathione Metabolism,SMPDB,2,C01879;C00025,22 (22),0.114,0.788
Ifosfamide Action Pathway,SMPDB,2,C01471;C00080,22 (22),0.114,0.788
Glutathione Synthetase Deficiency,SMPDB,2,C01879;C00025,22 (22),0.114,0.788
Ifosfamide Metabolism Pathway,SMPDB,2,C01471;C00080,22 (22),0.114,0.788
5-Oxoprolinuria,SMPDB,2,C01879;C00025,22 (22),0.114,0.788
NAD Biosynthesis II (from tryptophan),Wikipathways,2,C00064;C00025,22 (23),0.114,0.788
Asparagine N-linked glycosylation,Reactome,5,C00064;C00022;C00074;C00025;C00080,98 (119),0.116,0.805
Methionine De Novo and Salvage Pathway,Wikipathways,3,C00077;C00022;C00025,46 (47),0.121,0.805
Developmental Biology,Reactome,2,C00025;C00080,23 (26),0.122,0.805
Butanoate metabolism,INOH,2,C00033;C00164,23 (23),0.122,0.805
Pyrimidine salvage,Reactome,2,C00475;C00178,23 (23),0.122,0.805
Cyclophosphamide Action Pathway,SMPDB,2,C01471;C00080,23 (23),0.122,0.805
Cyclophosphamide Metabolism Pathway,SMPDB,2,C01471;C00080,23 (23),0.122,0.805
glycine/serine biosynthesis,HumanCyc,1,C00065,5 (5),0.125,0.805
OAS antiviral response,Wikipathways,1,C00080,5 (5),0.125,0.805
Oxidative phosphorylation,Wikipathways,1,C00080,5 (5),0.125,0.805
Amino acid conjugation,Wikipathways,1,C00064,5 (6),0.125,0.805
SIRT1 negatively regulates rRNA expression,Reactome,1,C00153,5 (6),0.125,0.805
bupropion degradation,HumanCyc,1,C00080,5 (10),0.125,0.805
HDR through MMEJ (alt-NHEJ),Reactome,1,C00153,5 (5),0.125,0.805
RUNX3 regulates p14-ARF,Reactome,1,C00033,5 (5),0.125,0.805
cardiolipin biosynthesis,HumanCyc,1,C00080,5 (9),0.125,0.805
Regulation of PTEN stability and activity,Reactome,1,C00153,5 (5),0.125,0.805
fatty acid elongation -- saturated,HumanCyc,1,C00080,5 (5),0.125,0.805
Cytosolic iron-sulfur cluster assembly,Reactome,1,C00080,5 (8),0.125,0.805
Formation of ATP by chemiosmotic coupling,Reactome,1,C00080,5 (5),0.125,0.805
Electron transport from NADPH to Ferredoxin,Reactome,1,C00080,5 (7),0.125,0.805
thiamin salvage III,HumanCyc,1,C00080,5 (5),0.125,0.805
hypoxia-inducible factor in the cardivascular system,BioCarta,1,C00022,5 (5),0.125,0.805
Asthma - Homo sapiens (human),KEGG,1,C00388,5 (5),0.125,0.805
FoxO signaling pathway - Homo sapiens (human),KEGG,1,C00025,5 (5),0.125,0.805
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,Reactome,1,C00080,5 (5),0.125,0.805
Diseases of metabolism,Reactome,1,C00080,5 (5),0.125,0.805
adenine and adenosine salvage II,HumanCyc,1,C00080,5 (5),0.125,0.805
sorbitol degradation I,HumanCyc,1,C00080,5 (5),0.125,0.805
progesterone biosynthesis,HumanCyc,1,C00080,5 (6),0.125,0.805
PRPP biosynthesis,HumanCyc,1,C00080,5 (6),0.125,0.805
glycoaminoglycan-protein linkage region biosynthesis,HumanCyc,1,C00080,5 (5),0.125,0.805
Cross-presentation of particulate exogenous antigens (phagosomes),Reactome,1,C00080,5 (5),0.125,0.805
Reversible hydration of carbon dioxide,Reactome,1,C00080,5 (5),0.125,0.805
thiosulfate disproportionation III (rhodanese),HumanCyc,1,C00080,5 (5),0.125,0.805
Ras activation upon Ca2+ influx through NMDA receptor,Reactome,1,C00025,5 (5),0.125,0.805
Unblocking of NMDA receptor_ glutamate binding and activation,Reactome,1,C00025,5 (5),0.125,0.805
CREB phosphorylation through the activation of CaMKII,Reactome,1,C00025,5 (5),0.125,0.805
protein <i>O</i>-[<i>N</i>-acetyl]-glucosylation,HumanCyc,1,C00080,5 (5),0.125,0.805
Heroin Metabolism Pathway,SMPDB,1,C00033,5 (5),0.125,0.805
thyroid hormone metabolism I (via deiodination),HumanCyc,1,C00080,5 (11),0.125,0.805
Neurotoxicity of clostridium toxins,Wikipathways,1,C00080,5 (6),0.125,0.805
hypusine biosynthesis,HumanCyc,1,C00080,5 (5),0.125,0.805
Fertilization,Wikipathways,1,C00080,5 (5),0.125,0.805
Reversible hydration of carbon dioxide,Wikipathways,1,C00080,5 (5),0.125,0.805
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,Wikipathways,1,C00080,5 (5),0.125,0.805
HDR through MMEJ (alt-NHEJ),Wikipathways,1,C00153,5 (5),0.125,0.805
Glucose Alanine cycle,Wikipathways,1,C00022,5 (5),0.125,0.805
glutathione redox reactions II,HumanCyc,1,C00080,5 (5),0.125,0.805
Metabolism of proteins,Reactome,9,C00064;C00148;C00033;C00022;C00025;C00074;C00080;C00049;C00135,220 (269),0.126,0.807
Interconversion of nucleotide di- and triphosphates,Reactome,3,C00064;C00025;C00080,47 (52),0.127,0.809
Inositol phosphate metabolism - Homo sapiens (human),KEGG,3,C00222;C03660;C03659,47 (47),0.127,0.809
Class A/1 (Rhodopsin-like receptors),Reactome,4,C00033;C00163;C00388;C00080,74 (82),0.131,0.831
Heparan sulfate/heparin (HS-GAG) metabolism,Reactome,2,C00033;C00049,24 (35),0.131,0.831
Neurotransmitter clearance,Reactome,2,C00033;C00080,24 (24),0.131,0.831
Glycolysis,SMPDB,2,C00022;C00074,24 (24),0.131,0.831
Glycogenosis_ Type VII. Tarui disease,SMPDB,2,C00022;C00074,24 (24),0.131,0.831
Fanconi-bickel syndrome,SMPDB,2,C00022;C00074,24 (24),0.131,0.831
Neurotransmitter clearance,Wikipathways,2,C00033;C00080,24 (24),0.131,0.831
Disorders of Folate Metabolism and Transport,Wikipathways,2,C00025;C00135,25 (26),0.14,0.875
Glutaric Aciduria Type I,SMPDB,2,C00025;C00449,25 (27),0.14,0.875
Pyruvate metabolism,Reactome,2,C00022;C00080,25 (25),0.14,0.875
Lysine Degradation,SMPDB,2,C00025;C00449,25 (27),0.14,0.875
Hyperlysinemia I_ Familial,SMPDB,2,C00025;C00449,25 (27),0.14,0.875
2-aminoadipic 2-oxoadipic aciduria,SMPDB,2,C00025;C00449,25 (27),0.14,0.875
Pyridoxine dependency with seizures,SMPDB,2,C00025;C00449,25 (27),0.14,0.875
Saccharopinuria/Hyperlysinemia II,SMPDB,2,C00025;C00449,25 (27),0.14,0.875
Hyperlysinemia II or Saccharopinuria,SMPDB,2,C00025;C00449,25 (27),0.14,0.875
Platelet homeostasis,Wikipathways,2,C00033;C00080,25 (28),0.14,0.875
Catalytic cycle of mammalian Flavin-containing MonoOxygenases (FMOs),Wikipathways,1,C00080,6 (8),0.149,0.881
lipoate salvage,HumanCyc,1,C00080,6 (6),0.149,0.881
oxidized GTP and dGTP detoxification,HumanCyc,1,C00080,6 (10),0.149,0.881
glycogen biosynthesis,HumanCyc,1,C00080,6 (7),0.149,0.881
Regulation of HSF1-mediated heat shock response,Reactome,1,C00153,6 (7),0.149,0.881
retinoate biosynthesis I,HumanCyc,1,C00080,6 (6),0.149,0.881
Synthesis and degradation of ketone bodies - Homo sapiens (human),KEGG,1,C00164,6 (6),0.149,0.881
Biosynthesis of protectins,Reactome,1,C00080,6 (14),0.149,0.881
Biosynthesis of maresin-like SPMs,Reactome,1,C00080,6 (15),0.149,0.881
The proton buffering model,Reactome,1,C00080,6 (6),0.149,0.881
Type II diabetes mellitus - Homo sapiens (human),KEGG,1,C00022,6 (6),0.149,0.881
POLB-Dependent Long Patch Base Excision Repair,Reactome,1,C00153,6 (6),0.149,0.881
Resolution of AP sites via the multiple-nucleotide patch replacement pathway,Reactome,1,C00153,6 (6),0.149,0.881
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,Reactome,1,C00153,6 (6),0.149,0.881
D-<i>myo</i>-inositol-5-phosphate metabolism,HumanCyc,1,C00080,6 (8),0.149,0.881
acetate conversion to acetyl-CoA,HumanCyc,1,C00033,6 (6),0.149,0.881
Reuptake of GABA,Reactome,1,C03283,6 (6),0.149,0.881
thyroid hormone biosynthesis,HumanCyc,1,C00080,6 (6),0.149,0.881
melatonin degradation III,HumanCyc,1,C00080,6 (7),0.149,0.881
dolichyl-diphosphooligosaccharide biosynthesis,HumanCyc,1,C00080,6 (7),0.149,0.881
&alpha;-tocopherol degradation,HumanCyc,1,C00080,6 (9),0.149,0.881
Transcriptional activation of mitochondrial biogenesis,Reactome,1,C00153,6 (7),0.149,0.881
Regulation of thyroid hormone activity,Reactome,1,C00080,6 (6),0.149,0.881
GDP-L-fucose biosynthesis I (from GDP-D-mannose),HumanCyc,1,C00080,6 (7),0.149,0.881
retinoate biosynthesis II,HumanCyc,1,C00080,6 (6),0.149,0.881
D4&E4-neuroprostanes formation,EHMN,1,C00080,6 (6),0.149,0.881
Signaling by Insulin receptor,Wikipathways,1,C00080,6 (6),0.149,0.881
Transcriptional activity of SMAD2-SMAD3-SMAD4 heterotrimer,Wikipathways,1,C00153,6 (6),0.149,0.881
Synaptic Vesicle Pathway,Wikipathways,1,C00064,6 (7),0.149,0.881
Digestion resistant carbohydrate metabolism,Wikipathways,1,C00033,6 (6),0.149,0.881
fructose 2_6-bisphosphate synthesis,HumanCyc,1,C00080,6 (7),0.149,0.881
aspirin-triggered lipoxin biosynthesis,HumanCyc,1,C00080,6 (9),0.149,0.881
Uptake and function of anthrax toxins,Wikipathways,1,C00080,6 (6),0.149,0.881
NADPH regeneration,Wikipathways,1,C00080,6 (6),0.149,0.881
Post-translational protein modification,Reactome,6,C00064;C00074;C00033;C00022;C00025;C00080,136 (176),0.149,0.881
Organic cation transport,Reactome,2,C00388;C00080,26 (29),0.15,0.881
Beta-mercaptolactate-cysteine disulfiduria,SMPDB,2,C00022;C00025,26 (26),0.15,0.881
Cysteine Metabolism,SMPDB,2,C00022;C00025,26 (26),0.15,0.881
Cystinosis_ ocular nonnephropathic,SMPDB,2,C00022;C00025,26 (26),0.15,0.881
Platelet homeostasis,Reactome,2,C00033;C00080,26 (28),0.15,0.881
morphine biosynthesis,HumanCyc,2,C00033;C00080,27 (27),0.159,0.925
Carbohydrate digestion and absorption - Homo sapiens (human),KEGG,2,C00033;C00163,27 (27),0.159,0.925
Sulfur amino acid metabolism,Wikipathways,3,C00022;C00109;C00080,53 (67),0.164,0.925
Vitamin B6 metabolism - Homo sapiens (human),KEGG,2,C00266;C00232,28 (28),0.168,0.925
Signaling by Retinoic Acid,Reactome,2,C00022;C00080,28 (29),0.168,0.925
Folate malabsorption_ hereditary,SMPDB,2,C00025;C00080,28 (28),0.168,0.925
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMPDB,2,C00025;C00080,28 (28),0.168,0.925
Folate Metabolism,SMPDB,2,C00025;C00080,28 (28),0.168,0.925
Selenoamino Acid Metabolism,SMPDB,2,C00065;C00109,28 (28),0.168,0.925
Monoamine GPCRs,Wikipathways,1,C00388,7 (7),0.171,0.925
glutamate removal from folates,HumanCyc,1,C00025,7 (7),0.171,0.925
GDP-mannose biosynthesis,HumanCyc,1,C00080,7 (8),0.171,0.925
spermidine biosynthesis,HumanCyc,1,C00080,7 (7),0.171,0.925
mRNA capping,HumanCyc,1,C00080,7 (7),0.171,0.925
Transcriptional regulation by RUNX3,Reactome,1,C00033,7 (7),0.171,0.925
NAD phosphorylation and dephosphorylation,HumanCyc,1,C00080,7 (7),0.171,0.925
spermine biosynthesis,HumanCyc,1,C00080,7 (7),0.171,0.925
Transport and synthesis of PAPS,Reactome,1,C00080,7 (7),0.171,0.925
2-oxoisovalerate decarboxylation to isobutanoyl-CoA,HumanCyc,1,C00080,7 (7),0.171,0.925
choline degradation,HumanCyc,1,C00080,7 (7),0.171,0.925
Fertilization,Reactome,1,C00080,7 (7),0.171,0.925
Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),Reactome,1,C00080,7 (11),0.171,0.925
Signaling by TGF-beta Receptor Complex,Reactome,1,C00153,7 (7),0.171,0.925
GDP-L-fucose biosynthesis II (from L-fucose),HumanCyc,1,C00080,7 (8),0.171,0.925
Mitochondrial iron-sulfur cluster biogenesis,Reactome,1,C00080,7 (11),0.171,0.925
Biosynthesis of maresins,Reactome,1,C00080,7 (21),0.171,0.925
Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR),Reactome,1,C00025,7 (17),0.171,0.925
Biosynthesis of DHA-derived sulfido conjugates,Reactome,1,C00025,7 (21),0.171,0.925
Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human),KEGG,1,C00033,7 (7),0.171,0.925
Rapoport-Luebering glycolytic shunt,HumanCyc,1,C00080,7 (7),0.171,0.925
Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human),KEGG,1,C00080,7 (7),0.171,0.925
2_-deoxy-&alpha;-D-ribose 1-phosphate degradation,HumanCyc,1,C00080,7 (8),0.171,0.925
Nicotine addiction - Homo sapiens (human),KEGG,1,C00025,7 (7),0.171,0.925
Metabolism of ingested MeSeO2H into MeSeH,Reactome,1,C00080,7 (8),0.171,0.925
NADPH regeneration,Reactome,1,C00080,7 (7),0.171,0.925
Carboxyterminal post-translational modifications of tubulin,Reactome,1,C00025,7 (9),0.171,0.925
tetrahydrofolate salvage from 5_10-methenyltetrahydrofolate,HumanCyc,1,C00080,7 (7),0.171,0.925
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,Reactome,1,C00080,7 (7),0.171,0.925
Long-term potentiation - Homo sapiens (human),KEGG,1,C00025,7 (7),0.171,0.925
inositol pyrophosphates biosynthesis,HumanCyc,1,C00080,7 (10),0.171,0.925
UDP-D-xylose and UDP-D-glucuronate biosynthesis,HumanCyc,1,C00080,7 (8),0.171,0.925
putrescine biosynthesis II,HumanCyc,1,C00080,7 (7),0.171,0.925
Arachidonate production from DAG,Reactome,1,C00080,7 (8),0.171,0.925
sulfate activation for sulfonation,HumanCyc,1,C00080,7 (7),0.171,0.925
chondroitin sulfate biosynthesis,HumanCyc,1,C00080,7 (8),0.171,0.925
Acetylcholine Neurotransmitter Release Cycle,Reactome,1,C00080,7 (7),0.171,0.925
Metal ion SLC transporters,Reactome,1,C00080,7 (7),0.171,0.925
2-oxoglutarate decarboxylation to succinyl-CoA,HumanCyc,1,C00080,7 (7),0.171,0.925
flavin biosynthesis,HumanCyc,1,C00080,7 (7),0.171,0.925
NADH repair,HumanCyc,1,C00080,7 (8),0.171,0.925
